id,level,section,row,seat,zone,price,x,y,z,dist_singer_ft,dist_pit_ft,horiz_angle_deg,elev_to_singer_deg,overhang,overhang_depth_ft,overhang_opening_ft,overhang_d_over_h,headroom_ft,opening_angle_deg,prosc_top_clipped,visible_prosc_height_ft,pit_visible,stage_width_visible,ceiling_reflection_singer,ceiling_reflection_pit,direct_level_db,score
orchestra:A:101,orchestra,center_odd,A,101,ORP,310,-2.87,3.9,25.44,33.9,12.6,4.9,8.3,none,0.0,,0.0,70.1,81.7,False,31.5,0.08,1.0,True,True,-0.0,100.0
orchestra:A:103,orchestra,center_odd,A,103,ORP,310,-4.62,3.9,25.35,34.0,13.0,7.9,8.3,none,0.0,,0.0,70.1,81.7,False,31.5,0.17,1.0,True,True,-0.0,100.0
orchestra:A:105,orchestra,center_odd,A,105,ORP,310,-6.37,3.9,25.21,34.2,13.6,10.9,8.2,none,0.0,,0.0,70.1,81.8,False,31.5,0.25,1.0,True,True,-0.1,100.0
orchestra:A:107,orchestra,center_odd,A,107,ORP,310,-8.11,3.9,25.03,34.4,14.4,13.8,8.2,none,0.0,,0.0,70.1,81.8,False,31.5,0.42,1.0,True,True,-0.1,100.0
orchestra:A:109,orchestra,center_odd,A,109,ORP,310,-9.84,3.9,24.81,34.6,15.3,16.7,8.1,none,0.0,,0.0,70.1,81.9,False,31.5,0.58,1.0,True,True,-0.2,100.0
orchestra:A:111,orchestra,center_odd,A,111,ORP,310,-11.57,3.9,24.54,34.9,16.3,19.6,8.1,none,0.0,,0.0,70.1,81.9,False,31.5,0.75,1.0,True,True,-0.3,100.0
orchestra:A:113,orchestra,center_odd,A,113,ORP,310,-13.29,3.9,24.24,35.2,17.3,22.4,8.0,none,0.0,,0.0,70.1,82.0,False,31.5,0.92,1.0,True,True,-0.3,99.9
orchestra:A:115,orchestra,center_odd,A,115,ORP,310,-15.01,3.9,23.88,35.6,18.5,25.2,7.9,none,0.0,,0.0,70.1,82.1,False,31.5,0.0,1.0,True,True,-0.4,89.5
orchestra:A:117,orchestra,center_odd,A,117,ORP,310,-16.71,3.9,23.49,36.0,19.7,28.0,7.8,none,0.0,,0.0,70.1,82.2,False,31.5,0.0,1.0,True,True,-0.5,86.5
orchestra:A:119,orchestra,center_odd,A,119,ORP,310,-18.41,3.9,23.05,36.4,21.0,30.7,7.7,none,0.0,,0.0,70.1,82.3,False,31.5,0.0,1.0,True,True,-0.6,83.6
orchestra:A:121,orchestra,center_odd,A,121,ORP,310,-20.09,3.9,22.58,36.9,22.3,33.3,7.6,upper_tier,7.0,3.4,2.07,29.3,67.9,False,31.5,0.0,1.0,True,True,-0.7,80.8
orchestra:A:123,orchestra,center_odd,A,123,ORP,310,-21.76,3.9,22.06,37.4,23.6,35.9,7.5,upper_tier,8.0,3.0,2.71,29.1,65.8,False,31.5,0.0,1.0,False,True,-0.9,71.9
orchestra:A:102,orchestra,center_even,A,102,ORP,310,2.87,3.9,25.44,33.9,12.6,4.9,8.3,none,0.0,,0.0,70.1,81.7,False,31.5,0.08,1.0,True,True,-0.0,100.0
orchestra:A:104,orchestra,center_even,A,104,ORP,310,4.62,3.9,25.35,34.0,13.0,7.9,8.3,none,0.0,,0.0,70.1,81.7,False,31.5,0.17,1.0,True,True,-0.0,100.0
orchestra:A:106,orchestra,center_even,A,106,ORP,310,6.37,3.9,25.21,34.2,13.6,10.9,8.2,none,0.0,,0.0,70.1,81.8,False,31.5,0.25,1.0,True,True,-0.1,100.0
orchestra:A:108,orchestra,center_even,A,108,ORP,310,8.11,3.9,25.03,34.4,14.4,13.8,8.2,none,0.0,,0.0,70.1,81.8,False,31.5,0.42,1.0,True,True,-0.1,100.0
